YEAR,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2010,38,Non-citizen / foreign-born unknown,922400,174400.0,18.9071986123157
2010,38,US-born,65396800,6542000.0,10.003547574193233
2010,39,Naturalized citizen,23108400,2924000.0,12.653407418947223
2010,39,Non-citizen / foreign-born unknown,23798300,8027200.0,33.73014038817899
2010,39,US-born,1098235100,131461100.0,11.97021475638504
2010,40,Naturalized citizen,6414400,1485700.0,23.161948116737342
2010,40,Non-citizen / foreign-born unknown,14567700,8795000.0,60.37329159716359
2010,40,US-born,352157200,62323800.0,17.697721358529655
2010,41,Naturalized citizen,14159200,2471800.0,17.457200971806316
2010,41,Non-citizen / foreign-born unknown,23276900,11916700.0,51.1953911388544
2010,41,US-born,342510200,51376800.0,15.000078829769157
