YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2011,40,Foreign-born,2223800,774300.0,34.818778667146326
2011,40,US-born,33459700,11980900.0,35.806955830446775
2011,41,Foreign-born,4410700,1585200.0,35.939873489468795
2011,41,US-born,37539300,13463400.0,35.86481367526832
2011,42,Foreign-born,12621900,3958700.0,31.363740799721118
2011,42,US-born,131935700,45112500.0,34.19279239811514
2011,44,Foreign-born,1668600,707000.0,42.37084981421551
2011,44,US-born,12233100,4318500.0,35.3017632488903
2011,45,Foreign-born,2432400,1096500.0,45.07893438579181
2011,45,US-born,39009900,15225200.0,39.02906698043317
2011,46,Foreign-born,229900,69500.0,30.230535015224007
2011,46,US-born,8895300,3172000.0,35.65928074376356
2011,47,Foreign-born,4019600,1355600.0,33.72474873121703
2011,47,US-born,58698000,21573500.0,36.75338171658319
2011,48,Foreign-born,42770700,14077200.0,32.91318589595213
2011,48,US-born,214754400,69535600.0,32.37912704000477
2011,49,Foreign-born,2404800,1103100.0,45.87075848303393
2011,49,US-born,25692900,8218800.0,31.98860385553986
2011,50,Foreign-born,573100,246700.0,43.046588727970686
2011,50,US-born,9519500,2979400.0,31.297862282682914
2011,51,Foreign-born,18945700,6090100.0,32.145024992478504
2011,51,US-born,93328000,29457600.0,31.563517915309447
2011,53,Foreign-born,11919000,4385600.0,36.795033140364126
2011,53,US-born,68562000,23268500.0,33.93789562731542
2011,54,Foreign-born,439300,58300.0,13.27111313453221
2011,54,US-born,14477900,4442400.0,30.684008039840034
2011,55,Foreign-born,3829300,1141400.0,29.80701433682396
2011,55,US-born,60033800,21040600.0,35.04792300337476
2011,56,Foreign-born,246800,129100.0,52.3095623987034
2011,56,US-born,5342900,1927600.0,36.077785472309046
2012,1,Foreign-born,2309000,825000.0,35.7297531398874
2012,1,US-born,41273100,14586800.0,35.34214779117634
2012,2,Foreign-born,840800,392000.0,46.62226450999049
2012,2,US-born,7967100,2582000.0,32.408279047583186
2012,4,Foreign-born,8668200,3254200.0,37.541819524238015
2012,4,US-born,54416100,19571600.0,35.96656136694838
2012,5,Foreign-born,1141300,370800.0,32.489266625777624
2012,5,US-born,23916400,8133600.0,34.00846281212891
2012,6,Foreign-born,131031400,49043900.0,37.42912004298206
2012,6,US-born,295413200,101831600.0,34.470903805246344
2012,8,Foreign-born,6001200,2121400.0,35.3495967473172
2012,8,US-born,69805100,25281300.0,36.216981280737365
2012,9,Foreign-born,8611800,3400600.0,39.4876796953018
2012,9,US-born,45536200,14487700.0,31.81578612181078
